id,name
Q392835,Shah Waliullah Dehlawi,Indian muslim scholar,+1703-02-21T00:00:00Z,+1762-08-20T00:00:00Z
Q6128447,James Akin,American cartoonist,+1773-01-01T00:00:00Z,+1846-01-01T00:00:00Z
Q1360294,Ernst Stiedenroth,German philosopher,+1794-05-11T00:00:00Z,+1858-05-03T00:00:00Z
Q707637,Henry of Ghent,scholastic philosopher,+1217-01-01T00:00:00Z,+1293-06-29T00:00:00Z
Q12758969,Slobodan Milić,,+1938-04-14T00:00:00Z,+2000-04-24T00:00:00Z
Q23648486,Concepción Rodríguez Jiménez,botanist,+1945-00-00T00:00:00Z,
Q36536728,Daniel Guillot Ortiz,botanist,+1950-00-00T00:00:00Z,
Q236173,Chantal Mouffe,Belgian post-marxist political theorist,+1943-06-17T00:00:00Z,
Q5780956,Toivo Haapanen,Finnish conductor and music scholar,+1889-05-15T00:00:00Z,+1950-07-22T00:00:00Z
Q18415813,Ca Lê Thuần,Vietnamese musician,+1938-00-00T00:00:00Z,+2017-01-20T00:00:00Z
Q112364957,Rafael Hess,,+1902-00-00T00:00:00Z,+1994-06-17T00:00:00Z
Q107387561,Alain Kojelé,,+1975-04-11T00:00:00Z,
Q96920,Richard Schulz,German Esperantist (1906-1997),+1906-07-12T00:00:00Z,+1997-10-26T00:00:00Z
Q354342,Bardaisan,"Syrian gnostic, scientist, philosopher and poet (154-222)",+0154-07-11T00:00:00Z,+0222-01-01T00:00:00Z
Q203952,Antoine de Rivarol,French writer (1753-1801),+1753-06-26T00:00:00Z,+1801-04-11T00:00:00Z
Q563138,Carlo Cafiero,Italian anarchist (1846-1892),+1846-09-01T00:00:00Z,+1892-07-17T00:00:00Z
Q255261,Anna Maria van Schurman,Dutch painter (1607-1678),+1607-11-05T00:00:00Z,+1678-05-04T00:00:00Z
Q788247,Thomas Patch,British artist (1725-1782),+1725-03-13T00:00:00Z,+1782-04-30T00:00:00Z
Q1442423,Gabriel Jean Edmond Séailles,French philosopher,+1852-06-27T00:00:00Z,+1922-09-16T00:00:00Z
Q16467778,Louis Borgex,"French caricaturist, lithographer and painter",+1873-06-05T00:00:00Z,+1959-00-00T00:00:00Z
Q7325203,Richard Dighton the younger,English artist,+1795-01-01T00:00:00Z,+1880-04-13T00:00:00Z
Q780899,Francis William Newman,English scholar and writer,+1805-06-27T00:00:00Z,+1897-10-07T00:00:00Z
Q2264505,Philippe Geluck,Belgian cartoonist and humorist,+1954-05-07T00:00:00Z,
Q86371,Gustav Bergmann,Austrian-American philosopher (1906-1987),+1906-05-04T00:00:00Z,+1987-04-21T00:00:00Z
Q19630506,Georges d'Ostoya,,+1878-00-00T00:00:00Z,+1937-00-00T00:00:00Z
Q24081307,Anton Gareis,German painter in Prague,+1793-01-01T00:00:00Z,+1863-07-23T00:00:00Z
Q76430,Carl von Clausewitz,German-Prussian general and military theorist,+1780-06-01T00:00:00Z,+1831-11-16T00:00:00Z
Q366862,Adriaan Koerbagh,Dutch philosopher,+1633-01-01T00:00:00Z,+1669-10-15T00:00:00Z
Q17447109,Andres Varustin,"Estonian artist, caricaturist, book illustrator",+1968-02-28T00:00:00Z,
Q64171517,Saïd Bensaïd Alaoui,,+1946-00-00T00:00:00Z,
Q1822121,Lewis Lindsay Dyche,"American naturalist, taxonomist and conservationist (1857-1915)",+1857-03-20T00:00:00Z,+1915-01-20T00:00:00Z
Q243771,Antonio Machado,Spanish poet (1875-1939),+1875-07-26T00:00:00Z,+1939-02-22T00:00:00Z
Q71033,Samuel Hartlib,East European-born English polymath c. 1600–1662,+1600-01-01T00:00:00Z,+1662-03-10T00:00:00Z
Q995457,Christoph Hubig,German sociologist and philosopher,+1952-04-15T00:00:00Z,
Q114565406,Chaviv Sasson,Yugoslavia-born Israeli painter and caricaturist,+1905-00-00T00:00:00Z,
Q1312168,Robert Brandom,American philosopher,+1950-03-13T00:00:00Z,
Q20390245,Ṣāliḥ Aḥmad ʻAlī,Iraqi historian,+1918-00-00T00:00:00Z,+2003-12-25T00:00:00Z
