start_node,edge_type,end_node
Q22689364,P570,+2021-03-16T00:00:00Z
Q95248987,P569,+1963-00-00T00:00:00Z
Q3992785,P569,+1962-02-18T00:00:00Z
Q3992785,P570,+2016-08-29T00:00:00Z
Q55237681,P569,+1952-04-21T00:00:00Z
Q55237681,P570,+1977-04-19T00:00:00Z
Q106614856,P569,+1940-04-13T00:00:00Z
Q106614856,P570,+2021-09-11T00:00:00Z
Q945974,P570,+1830-04-20T00:00:00Z
Q945974,P569,+1752-01-01T00:00:00Z
Q78195,P569,+1918-02-19T00:00:00Z
Q78195,P570,+2015-03-06T00:00:00Z
Q72062,P569,+1901-12-03T00:00:00Z
Q72062,P570,+1944-04-02T00:00:00Z
Q20511276,P569,+1897-08-29T00:00:00Z
Q20511276,P570,+1974-11-21T00:00:00Z
Q2544726,P569,+1906-02-26T00:00:00Z
Q2544726,P570,+1974-07-29T00:00:00Z
Q955831,P569,+1958-04-11T00:00:00Z
Q21078471,P569,+1908-11-15T00:00:00Z
Q21078471,P570,+1967-04-22T00:00:00Z
Q22915096,P569,+1882-00-00T00:00:00Z
Q22915096,P570,+1936-03-13T00:00:00Z
Q5948964,P569,+1910-01-01T00:00:00Z
Q5948964,P570,+1987-02-17T00:00:00Z
Q1637291,P569,+1675-05-29T00:00:00Z
Q1637291,P570,+1715-10-15T00:00:00Z
Q3134127,P569,+1864-12-27T00:00:00Z
Q3134127,P570,+1940-06-23T00:00:00Z
Q16269507,P569,+1957-07-05T00:00:00Z
Q3934098,P569,+1611-12-13T00:00:00Z
Q3934098,P570,+1672-09-12T00:00:00Z
Q1301355,P569,-0200-00-00T00:00:00Z
Q1301355,P570,-0200-00-00T00:00:00Z
Q2683316,P569,+1900-06-26T00:00:00Z
Q2683316,P570,+1978-05-21T00:00:00Z
Q5246202,P569,+1967-05-31T00:00:00Z
Q30526862,P569,+1913-01-01T00:00:00Z
Q30526862,P570,+1947-00-00T00:00:00Z
Q86737,P569,+1860-10-09T00:00:00Z
Q86737,P570,+1937-02-18T00:00:00Z
Q29889407,P569,+1855-00-00T00:00:00Z
Q29889407,P570,+1886-03-16T00:00:00Z
Q12042374,P569,+1946-05-23T00:00:00Z
Q98664361,P570,+2004-00-00T00:00:00Z
Q1690325,P569,+1593-01-03T00:00:00Z
Q1690325,P570,+1644-01-01T00:00:00Z
Q336769,P569,+1882-01-09T00:00:00Z
Q336769,P570,+1937-12-08T00:00:00Z
Q1220101,P569,+1613-01-13T00:00:00Z
Q1220101,P570,+1679-03-03T00:00:00Z
Q119084113,P569,+1954-01-01T00:00:00Z
Q95286005,P569,+1861-06-05T00:00:00Z
Q95286005,P570,+1906-01-00T00:00:00Z
Q327601,P569,+1925-07-19T00:00:00Z
Q15694844,P569,+1964-09-14T00:00:00Z
Q47258730,P569,+1960-07-31T00:00:00Z
Q5946184,P569,+1866-03-26T00:00:00Z
Q5946184,P570,+1919-12-28T00:00:00Z
Q90354350,P569,+1928-00-00T00:00:00Z
Q90354350,P570,+2019-05-25T00:00:00Z
Q35813424,P570,+2017-04-28T00:00:00Z
Q35813424,P569,+1924-09-06T00:00:00Z
Q1682174,P569,+1854-10-16T00:00:00Z
Q1682174,P570,+1936-11-08T00:00:00Z
Q7238196,P569,+1960-04-01T00:00:00Z
Q269226,P569,+1908-04-05T00:00:00Z
Q269226,P570,+1982-04-30T00:00:00Z
Q95391764,P569,+1945-12-24T00:00:00Z
Q16124894,P570,+1995-03-07T00:00:00Z
Q16124894,P569,+1937-11-20T00:00:00Z
Q282280,P569,+1853-01-16T00:00:00Z
Q282280,P570,+1900-07-31T00:00:00Z
Q1931028,P570,+1838-04-23T00:00:00Z
Q1931028,P569,+1746-09-12T00:00:00Z
Q43885900,P570,+2002-02-22T00:00:00Z
Q43885900,P569,+1920-07-25T00:00:00Z
Q1160462,P570,+1924-12-02T00:00:00Z
Q1160462,P569,+1878-05-02T00:00:00Z
Q29049137,P570,+2017-03-27T00:00:00Z
Q29049137,P569,+1916-09-12T00:00:00Z
Q12781703,P569,+1909-05-15T00:00:00Z
Q12781703,P570,+1976-01-15T00:00:00Z
Q3617929,P570,+2004-10-11T00:00:00Z
Q3617929,P569,+1919-07-17T00:00:00Z
Q6036215,P569,+1932-00-00T00:00:00Z
Q6036215,P570,+2015-01-05T00:00:00Z
Q18922716,P569,+1951-12-30T00:00:00Z
Q28379713,P569,+1895-11-03T00:00:00Z
Q28379713,P570,+1986-12-08T00:00:00Z
Q6868683,P569,+1938-09-05T00:00:00Z
Q6868683,P570,+2017-01-16T00:00:00Z
Q98378,P569,+1873-10-27T00:00:00Z
Q98378,P570,+1908-11-04T00:00:00Z
Q110078,P569,+1848-02-01T00:00:00Z
Q110078,P570,+1930-12-23T00:00:00Z
Q171091,P569,+1928-12-16T00:00:00Z
Q171091,P570,+1982-03-02T00:00:00Z
Q5597561,P569,+1915-05-22T00:00:00Z
Q5597561,P570,+2001-03-01T00:00:00Z
Q56389204,P569,+1942-09-11T00:00:00Z
Q115463460,P569,+1883-01-21T00:00:00Z
Q115463460,P570,+1963-04-14T00:00:00Z
Q3327256,P570,+1996-09-13T00:00:00Z
Q3327256,P569,+1906-01-01T00:00:00Z
Q113676234,P569,+1948-07-15T00:00:00Z
Q119299417,P570,+1890-08-03T00:00:00Z
Q119299417,P569,+1853-03-09T00:00:00Z
Q108665079,P569,+1960-00-00T00:00:00Z
Q1355698,P569,+1772-02-29T00:00:00Z
Q1355698,P570,+1842-11-10T00:00:00Z
Q21208691,P569,+1867-01-30T00:00:00Z
Q21208691,P570,+1959-01-08T00:00:00Z
Q429072,P569,+1674-06-28T00:00:00Z
Q429072,P570,+1755-03-06T00:00:00Z
Q15926718,P569,+1934-08-08T00:00:00Z
Q15926718,P570,+2004-06-12T00:00:00Z
Q27837315,P569,+1938-02-15T00:00:00Z
