Q404023,Aedesius,Neoplatonist philosopher,+0280-00-00T00:00:00Z,+0355-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Aedesius
Q384522,David Lewis,American philosopher (1941–2001),+1941-09-28T00:00:00Z,+2001-10-14T00:00:00Z,https://en.wikipedia.org/wiki/David_Lewis_(philosopher)
Q212338,Philolaus,"Greek philosopher, astronomer and Pythagorean (c.470–c.385 BCE)",-0470-01-01T00:00:00Z,-0390-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Philolaus
Q27645,Mikhail Bakunin,Russian revolutionary anarchist and philosopher (1814–1876),+1814-05-30T00:00:00Z,+1876-07-01T00:00:00Z,https://en.wikipedia.org/wiki/Mikhail_Bakunin
Q452091,William Whiston,"theologian, historian, mathematician (1667-1752)",+1667-12-09T00:00:00Z,+1752-08-22T00:00:00Z,https://en.wikipedia.org/wiki/William_Whiston
Q463723,Nikolai Fyodorovich Fyodorov,Russian philosopher and life extensionist (1829-1903),+1829-05-26T00:00:00Z,+1903-12-15T00:00:00Z,https://en.wikipedia.org/wiki/Nikolai_Fyodorov_(philosopher)
Q171091,Philip K. Dick,American science fiction author (1928–1982),+1928-12-16T00:00:00Z,+1982-03-02T00:00:00Z,https://en.wikipedia.org/wiki/Philip_K._Dick
Q77148,Carl Schmitt,"German jurist, political theorist and professor of law (1888-1985)",+1888-07-12T00:00:00Z,+1985-04-07T00:00:00Z,https://en.wikipedia.org/wiki/Carl_Schmitt
Q189564,Pierre Teilhard de Chardin,"French philosopher, Jesuit priest, and paleontologist",+1881-05-01T00:00:00Z,+1955-04-10T00:00:00Z,https://en.wikipedia.org/wiki/Pierre_Teilhard_de_Chardin
Q185117,Justin Martyr,2nd century CE Christian apologist and martyr,+0100-01-01T00:00:00Z,+0165-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Justin_Martyr
Q2955937,Chamaeleon,Greek Peripatetic philosopher (c.350–c.275 BC),-0400-00-00T00:00:00Z,-0300-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Chamaeleon_(philosopher)
Q3051714,Elsa Dorlin,French philosopher,+1974-01-01T00:00:00Z,,https://en.wikipedia.org/wiki/Elsa_Dorlin
Q4765569,Anita L. Allen,American lawyer,+1953-03-24T00:00:00Z,,https://en.wikipedia.org/wiki/Anita_L._Allen
Q331853,Benjamin Lee Whorf,American linguist (1897-1941),+1897-04-24T00:00:00Z,+1941-07-26T00:00:00Z,https://en.wikipedia.org/wiki/Benjamin_Lee_Whorf
Q345641,Bernard Williams,English moral philosopher (1929–2003),+1929-09-21T00:00:00Z,+2003-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Bernard_Williams
Q913,Socrates,classical Greek Athenian philosopher (c. 470 – 399 BC),-0470-00-00T00:00:00Z,-0399-02-15T00:00:00Z,https://en.wikipedia.org/wiki/Socrates
Q3342897,Nolini Kanta Gupta,disciple of Sri Aurobindo,+1889-01-13T00:00:00Z,+1983-02-07T00:00:00Z,https://en.wikipedia.org/wiki/Nolini_Kanta_Gupta
Q2161,Tacitus,Roman senator and historian (54-120),+0054-00-00T00:00:00Z,+0120-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Tacitus
Q211411,Chrysippus of Soli,Greek Stoic philosopher,-0281-00-00T00:00:00Z,-0208-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Chrysippus
Q78497,Paul Feyerabend,Austrian-born philosopher of science,+1924-01-13T00:00:00Z,+1994-02-11T00:00:00Z,https://en.wikipedia.org/wiki/Paul_Feyerabend
Q925732,Menedemus the Cynic,3rd century BC Greek Cynic philosopher,-0400-01-01T00:00:00Z,-0300-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Menedemus_the_Cynic
Q49325,Albert Schweitzer,"French-German physician, theologian, musician, and philosopher",+1875-01-14T00:00:00Z,+1965-09-04T00:00:00Z,https://en.wikipedia.org/wiki/Albert_Schweitzer
Q758060,Atticus,2nd century Greek philosopher,+0150-00-00T00:00:00Z,+0200-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Atticus_(philosopher)
Q113951,Erik von Kuehnelt-Leddihn,Austrian noble and political theorist (1909-1999),+1909-07-31T00:00:00Z,+1999-05-26T00:00:00Z,https://en.wikipedia.org/wiki/Erik_von_Kuehnelt-Leddihn
Q125249,William James,"American philosopher, psychologist, and pragmatist (1842–1910)",+1842-01-11T00:00:00Z,+1910-08-26T00:00:00Z,https://en.wikipedia.org/wiki/William_James
Q991,Fyodor Dostoyevsky,Russian novelist (1821–1881),+1821-11-11T00:00:00Z,+1881-01-28T00:00:00Z,https://en.wikipedia.org/wiki/Fyodor_Dostoevsky
Q313666,Georges Sorel,French philosopher and sociologist,+1847-11-02T00:00:00Z,+1922-08-29T00:00:00Z,https://en.wikipedia.org/wiki/Georges_Sorel
Q211539,Peter Singer,Australian moral philosopher,+1946-07-06T00:00:00Z,,https://en.wikipedia.org/wiki/Peter_Singer
Q2927235,Bryson of Achaea,4th-century BC Greek philosopher,-0450-00-00T00:00:00Z,-0400-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Bryson_of_Achaea
Q76688,Hans-Hermann Hoppe,Austrian school economist and libertarian anarcho-capitalist philosopher,+1949-09-02T00:00:00Z,,https://en.wikipedia.org/wiki/Hans-Hermann_Hoppe
